"number","name","aethyr","element","personality_traits","domains","tarot","sephirah","zodiac_angel","visual_emblem","translation","essence","themes","tokens","boon","verse","angelic_role","challenge","wisdom"
"1","OCCODON","LIL","Water","integrative|mercurial|empathic|poised","polarity alchemy|dream incubation","The Empress","Netzach","Haniel","Overflowing chalice","He whose name is renewal","OCCODON is the *First Current*-the pulse of primordial tide that dissolves the debris of aeons and baptises form into new becoming. Egyptians knew him as the hidden swell beneath the Nile's yearly flood.","*Virtues*: resilience, merciful renewal, fertility of mind. *Vices*: stagnation, despair, necrophilic clinging to spent cycles.","*Offer gladly*: spring-water chalice, germinating barley, phoenix-etched nautilus *Avoid*: rust flakes, wilted wreaths, candle stubs drowned in wax.","*Wave-Sigil* grants +1 daily energy **but** halves token rewards during eclipses-OCCODON teaches growth through ebb as well as flow.","""From the flood-gate of his chalice all beginnings are poured.""","Guardian of water mysteries; commands legions of elemental spirits in service of the cosmic order.","On-chain quest unique to OCCODON requiring alignment with water cycles and demonstration of elemental mastery.","In the words of OCCODON, 'True power lies in balanced mastery of water's sacred mysteries.'"
"12","CALVIZA","LOE","Air","lucid|inquisitive|tri-perspectival","optics|ophidian herb-work","The Star","Binah","Cassiel","Triple-facet prism held by snake coil","Son of the three-fold throne","Bearer of **triple-sight**-past, present, future refracted in a single ray.","Virtues: holistic perception, fearless inquiry. Vices: tunnel-vision, analytic arrogance.","*Favour*: crystal lenses, serpent-shed skin, tri-foliate herbs *Spurn*: opaque veils, scratched glass.","Eye grants secret-text vision but blinds map markers for 50 blocks.","""In one gleam lives the memory of three suns.""","Cappadocian sky-watcher guiding 4 321 exploratory spirits through the horizons of becoming.","On-chain quest unique to CALVIZA requiring alignment with air cycles and demonstration of elemental mastery.","Prismatic rhetoric: 'Bend the ray and truth refracts.'"
"13","AVTOTAR","LOE","Air","vigilant|precise|conservator","metaphysical safeguards|apotropaics","Wheel of Fortune","Chesed","Zadkiel","Obsidian mirror ringed by chalk ward","He who protects that which is","Guardian of **ontological boundaries**-keeper of reality's syntax.","Virtues: definitional clarity, vigilant guardianship. Vices: semantic rigidity, over-protection.","*Favour*: chalk wards, runic seals, obsidian mirrors *Spurn*: broken circles, corrupted sigils.","Wardstone blocks a chaos event but deletes 1 random low-tier artifact on use.","""Name the edge of being, or the abyss will.""","Curator of LOE's living lexicons; 3 003 angels patrol the weave of names.","On-chain quest unique to AVTOTAR requiring alignment with air cycles and demonstration of elemental mastery.","Logical syllogisms: 'Premise unguarded births paradox unchecked.'"
"14","ICHIZA","LOE","Air","contemplative|practical|sonorous","psycho-acoustics|liminal dreaming","Wheel of Fortune","Chesed","Zadkiel","Cobalt feather over resonant bowl","He who proceeds with wisdom","Pulse of **progressive discernment**-wisdom unfolding like a measured hymn.","Virtues: methodical learning, psychoacoustic harmony. Vices: info-glut paralysis, suppressed intuition.","*Favour*: singing bowls, lucid dream journals, cobalt plumes *Spurn*: white-noise machines, torn dreamcatchers.","Seal aids dream realms but doubles token cost for material-world crafting.","""In the hush of the mind, ladders of light unfold.""","Headmaster of LOE's astral academy, guiding 4 444 dream-tutors.","On-chain quest unique to ICHIZA requiring alignment with air cycles and demonstration of elemental mastery.","Binaural chants at 2 Hz: 'Listen to the space between.'"
"15","TIARPAX","LIT","Water","reflective|geometrical|sincere","sacred geometry|cosmography","The Hermit","Hod","Raphael","Silver dodecahedron floating on still water","He whose name means truth","Mirror of **cosmic verity**-where macrocosm and microcosm recognise themselves.","Virtues: introspective honesty, geometric elegance. Vices: self-deception, chaotic pattern-making.","*Favour*: lapis stylus, still-water basin, dodecahedra *Spurn*: cracked mirrors, asymmetric idols.","Mirror unmasks falsehoods but reflects player's own failures into public ledger.","""Gaze upon the tide; there the constellations confess their author.""","Warden of Pontic coastlines; 5 555 angels measure tides against star-angles.","On-chain quest unique to TIARPAX requiring alignment with water cycles and demonstration of elemental mastery.","Spiral logic: begins cosmic, ends personal-'Stars draw your face upon the tide.'"
"16","SAXTOMP","MAZ","Fire","devotional|patient|sapient","astro-herbalism|metaphysics","The Hierophant","Netzach","Haniel","Ember-lit torch twined by sage and star-chart ribbon","She whose name means understanding","SAXTOMP is the *Flame of Comprehension*-a hearth-wisdom that burns away illusion until only the bone-truth of the cosmos remains.","Virtues: disciplined enquiry, contemplative ardour, cosmic humility. Vices: dogmatic zeal, scorched-earth rhetoric.","*Welcome*: wormwood sprigs, meteoric iron filings, unglazed astrolabe *Shun*: soot-clogged crucibles, plagiarised theses.","","""Mind is tinder; stars are flint.""","Arch-tutor of Chaldean observatories, commanding 4 444 ministering astronomoi.","On-chain quest unique to SAXTOMP requiring alignment with fire cycles and demonstration of elemental mastery.","She counsels: 'Kneel by the furnace; the ore of certainty melts first.'"
"17","VAUAAMP","MAZ","Fire","initiative-driven|balanced|constructive","geomantic design|solar distillation","Temperance","Chesed","Zadkiel","Rotating tetrahedron borne aloft on a flame-tongue","He who initiates action","VAUAAMP is the *Spark-Architect*-first mover who sketches sacred angles in living fire.","Virtues: calibrated courage, alchemical balance. Vices: rash impulse, half-formed blueprints.","*Offer*: raw cinnabar, tetractys diagram, pristine spring-water phial *Reject*: warped rulers, impure salt.","","""The first stroke decides the cathedral.""","Keeper of Atlantean survey lines; marshals 5 180 geometers.","On-chain quest unique to VAUAAMP requiring alignment with fire cycles and demonstration of elemental mastery.","'Action without symmetry topples of its own weight.'"
"18","ZIRZIRD","MAZ","Fire","cyclical|visionary|persevering","cosmic cycles|astronomical coding","The Star","Binah","Cassiel","Ouroboros-comet encircling a sextant aflame","He who was and will be","ZIRZIRD embodies the *Revolving Ledger*-a cosmic accountant tallying epochs in star-wheels.","Virtues: long-range vision, patient iteration. Vices: perfection paralysis, nostalgia loops.","*Welcome*: astrolabe gears, ammonite fossils, lapis circle *Spurn*: broken calendars, retrograde excuses.","","""A future once lived returns wearing fresh dawn.""","Registrar of Babylonian sky-cycles, accompanied by 6 606 chronologers.","On-chain quest unique to ZIRZIRD requiring alignment with fire cycles and demonstration of elemental mastery.","'Return is not regret; it is rehearsal.'"
"19","OPMACAS","DEO","Fire","protogenic|daring|eloquent","first-principle magic|eidetic dreaming","The Star","Binah","Cassiel","Spiral torch whose smoke sketches primordial glyphs","He who is from the beginning","First-fire of genesis-OPMACAS breathes form into formless dream.","Virtues: visionary daring, proto-creativity. Vices: hubris of ""originality,"" dismissal of lineage.","*Offer*: blank papyrus, obsidian compass, poppy-seed vial *Avoid*: plagiarised sigils, dream-catchers torn.","","""Origin sleeps in every ember; rouse it wisely.""","Head of Muntenian dream-kilns; oversees 7 070 oneiric masons.","On-chain quest unique to OPMACAS requiring alignment with fire cycles and demonstration of elemental mastery.","'Every inception echoes an older whisper.'"
"20","GENADOL","DEO","Fire","magnetic|charismatic|tactical","ritual attraction|aero-divination","Strength","Tiphareth","Michael","Lion-standard tugged by invisible vortex","He who only attracts","GENADOL is magnetic command-the charisma that bends fate's iron filings.","Virtues: tactical grace, noble persuasion. Vices: manipulation, vanity of followers.","*Favour*: lodestone shard, kingfisher feather, brass trumpet mute *Spurn*: shackles, counterfeit banners.","","""Desire is the wind that obeys the confident helm.""","Marshal of Cappadocian sky-battalions, leading 5 555 seraph tacticians.","On-chain quest unique to GENADOL requiring alignment with fire cycles and demonstration of elemental mastery.","'Lead not by tether but by tide.'"
"21","ASPIAON","DEO","Fire","immutable|stoic|strategic-seer","ceremonial law|dragon-fire geomancy","Wheel of Fortune","Chesed","Zadkiel","Scales forged of living flame, balanced on a compass rose","She who precedes inner truth","ASPIAON is the herald of rightful order-testing motives before the tribunal of fire.","Virtues: incorruptible judgment, rhythmic discipline. Vices: punitive excess, inflexible edict.","*Favour*: unbroken chalk circle, dragon-scale ash, silver plumb-line *Reject*: forged seals, smoky mirrors.","","""The flame weighs both gold and straw.""","Chief adjudicator of Hittite flame-courts with 6 009 seraph bailiffs.","On-chain quest unique to ASPIAON requiring alignment with fire cycles and demonstration of elemental mastery.","'Justice strikes the spark that truth reflects.'"
"22","ZAMFRES","ZID","Fire","celebratory|aspiring|inspirational","dream artistry|creative alchemy","The High Priestess","Yesod","Gabriel","Phoenix plume rising from inkpot aflame","He who appears when praised","Patron of inspired acclaim-ZAMFRES materialises where genuine gratitude is spoken.","Virtues: appreciative wonder, co-creation. Vices: fawning flattery, empty applause.","*Cherish*: freshly-penned hymn, cinnabar pigment, lucid-dream sigil *Avoid*: rehearsed encomiums, plagiarised art.","","""Where the heart sings true, the angel steps through.""","Maestro of Phoenician dream-choirs, guiding 4 321 muse-spirits.","On-chain quest unique to ZAMFRES requiring alignment with fire cycles and demonstration of elemental mastery.","'Praise is the alloy that tempers ambition.'"
"23","TODNAON","ZID","Fire","prophetic|surveying|liminal","lenscraft|earth-water synthesis","The High Priestess","Yesod","Gabriel","Triple-mirror periscope wreathed in steam","He who is and will be","TODNAON governs the *Reflected Future*-seeing destiny in shifting surfaces.","Virtues: adaptable foresight, terrain attunement. Vices: mirage-chasing, fatalism.","*Favour*: polished obsidian disk, river-silt vial, lodestone dust *Spurn*: cracked mirrors, stagnant ponds.","","""The water remembers steps not yet taken.""","Cartographer of Mesopotamian flood-plains, escorting 5 555 current-readers.","On-chain quest unique to TODNAON requiring alignment with fire cycles and demonstration of elemental mastery.","'Every ripple sketches tomorrow's coastline.'"
"24","PRISTAC","ZID","Fire","steadfast|devotional|resonant","hieratic linguistics|toning therapy","The Magician","Hod","Raphael","Halo-sigil casting resonant standing-wave in stone","He who has the likeness of a holy one","PRISTAC mirrors celestial archetype-inviting mortals to echo higher harmony.","Virtues: integrity of tone, sacred imitation. Vices: hollow performance, icon-idolatry.","*Welcome*: tuning-fork of cedar, angelic script parchment, magnetite sand *Reject*: autotune device, chipped idols.","","""The image you reflect becomes your judge.""","Voice-templar of Armenian basalt chapels with 8 888 harmonic servitors.","On-chain quest unique to PRISTAC requiring alignment with fire cycles and demonstration of elemental mastery.","'Resonance is lineage made audible.'"
"25","ODDIORG","ZIP","Fire","judicial|impassioned|crusading","esoteric maths|martial psyche","Strength","Tiphareth","Michael","Flaming scales orbiting Mo'bius equation","He of fire and justice","ODDIORG adjudicates the psyche-tempering will in crucibles of number.","Virtues: courageous introspection, balanced logic. Vices: self-righteousness, punitive arithmancy.","*Offer*: chalk mandala, quartz pendulum, prime-number scroll *Spurn*: biased dice, corrupted ledgers.","","""Justice ignites where the mind meets the mirror.""","Fire-magistrate of Median astral courts with 6 666 verdict-spirits.","On-chain quest unique to ODDIORG requiring alignment with fire cycles and demonstration of elemental mastery.","'Equation and ethic share one equals sign.'"
"26","CRALPIR","ZIP","Fire","fervent|purifying|incendiary","metallurgic transmutation|pyromancy","Strength","Tiphareth","Michael","Sun-chalice overflowing with auric melody","He of bright joy","CRALPIR radiates triumphant solace-sunrise after battlefield night.","Virtues: jubilant resilience, tactical mercy. Vices: reckless optimism, blinding cheer.","*Favour*: sunrise-honey, gold-leaf laurel, war-drum skin *Spurn*: dirges, rusted panoply.","","""The brightest hymn leaves shadow for the weary to rest.""","Banner-bearer of Ionian sun-hosts, 7 070 cherub tacticians.","On-chain quest unique to CRALPIR requiring alignment with fire cycles and demonstration of elemental mastery.","'Joy is a sword that sheaths despair.'"
"27","DOANZIN","ZIP","Fire","catalytic|fervent|ardent","solar rites|pyromancy","The Magician","Hod","Raphael","Prism-staff driving steam vortex into glyph pool","He who names the waters","Master of reflective nomenclature-DOANZIN grants authority over the hidden shapes of tides.","Virtues: precise designation, aquatic clarity. Vices: rigid taxonomy, tidal wrath.","*Offer*: glass prism, water-ripple sand art, logarithmic spiral shell *Spurn*: mislabeled charts, oil-slicks.","","""The river answers only to its true name.""","Hydronymist of Indus deltas with 4 444 ripple-scribes.","On-chain quest unique to DOANZIN requiring alignment with fire cycles and demonstration of elemental mastery.","'Name the current and its secret well opens.'"
"28","LEXARPH","ZAX","Spirit","integrative|luminous|visionary","soul weaving|sigil calculus","The Magician","Hod","Raphael","Sigil-kite soaring in prismatic dawn","He who is first of the air","LEXARPH rides the liminal breeze between worlds, scripting fate upon invisible vellum.","Virtues: poised adaptability, silent mastery. Vices: aloof counsel, over-abstraction.","*Welcome*: vellum feather, beryl stylus, still-wind bottle *Spurn*: tethered kites, cracked emeralds.","","""The unseen path bears the surest step.""","Scout-marshal of Persian gulf winds, with 3 300 aer-scribes.","On-chain quest unique to LEXARPH requiring alignment with spirit cycles and demonstration of elemental mastery.","'Air is the scroll; intent the quill.'"
"29","COMANAN","ZAX","Spirit","priestly|ritualistic|genealogical","spirit genealogy|covenant smithing","The Empress","Netzach","Haniel","Verdant sigil blooming through translucent scroll","He who knows how to manifest","COMANAN teaches seed-alchemy-drawing spirit into leaf and legend.","Virtues: nurturing patience, mythic imagination. Vices: stagnation, story-addiction.","*Cherish*: mandrake root, folk-tale rune, moon-dew vial *Spurn*: synthetic dye, broken lore tablets.","","""A story planted bears unimagined fruit.""","Lore-gardener of Celtic groves, tending 2 750 myth-sprites.","On-chain quest unique to COMANAN requiring alignment with spirit cycles and demonstration of elemental mastery.","'Manifestation is myth given soil.'"
"30","TABITOM","ZAX","Spirit","spirited|messenger-like|clarifying","pneuma study|ether navigation","The Sun","Tiphareth","Michael","Solar wheel crowned with dragon-flame halo","He who is like fire","TABITOM is the *Solar Paradox*-spirit-fire that neither burns nor dims, but transmutes.","Virtues: cyclical renewal, luminous courage. Vices: consuming fervour, blinding certainty.","*Offer*: sunflower ash, golden ratio spiral, phoenix feather *Reject*: eclipse shards, dimmed lanterns.","","""Rise thrice-lit, and the world pursues your shadow.""","Censor of Zoroastrian sun-vaults with 1 919 solarophants.","On-chain quest unique to TABITOM requiring alignment with spirit cycles and demonstration of elemental mastery.","'Light's end is its beginning.'"
"31","MOLPAND","ICH","Water","tidal|fluid|adaptive","hydromancy|dream navigation","The High Priestess","Yesod","Gabriel","Overflowing chalice crowned by lunar tide","He who receives men","MOLPAND is the *Port of Souls*-tranquil harbour where journeymen spirits first taste incarnation.","Welcoming, transmutation, gentle guidance; shadowed by noblesse-oblige condescension.","Offer pearl-ink script, spring-water phial, selenite shard; refuse salt-scorched scrolls.","","""Raise the cup, know the sea within.""","Harbour-warden over 4 444 liminal ferrymen.","On-chain quest unique to MOLPAND requiring alignment with water cycles and demonstration of elemental mastery.","'Hospitality is the first alchemy-each guest becomes new gold.'"
"32","VSNARDA","ICH","Water","reflective|adaptive|tidal","hydromancy|aqua healing","Wheel of Fortune","Chesed","Zadkiel","Chalice spiralling into abyssal whirl","He who casts down into the depths","Keeper of abyss-initiations-VSNARDA drags arrogance beneath black tides until humility breathes anew.","Descent, cyclical fate, whispered lore; peril of endless sinking.","Welcome serpent-scale relic, obsidian droplet, etymon rune; spurn hollow boasts.","","""Dive past words; recover truth scaled and glistening.""","Curator of midnight-scripture, flanked by 3 210 abyss-scribes.","On-chain quest unique to VSNARDA requiring alignment with water cycles and demonstration of elemental mastery.","'The deepest well hides the clearest mirror.'"
"33","PONODOL","ICH","Fire","ardent|catalytic|fervent","solar rites|inner furnace yoga","The Tower","Geburah","Kamael","Flaming bifurcated sigil, half-ruin half-lotus","He who destroys and creates","PONODOL is the *Forge-Cataclysm*-breaker of obsolete forms and midwife of new laws.","Surgical destruction, tactical rebirth; hazard of collateral pyres.","Bring war-scarred stone, freshly-inked blueprint, single phoenix ash; never bring relics you fear to lose.","","""Rubble remembers the shape of tomorrow.""","Demolition-architect commanding 6 066 magma-masons.","On-chain quest unique to PONODOL requiring alignment with fire cycles and demonstration of elemental mastery.","'To raze with purpose is to lay mortar for futures.'"
"34","TAPAMAL","LOE","Fire","catalytic|transformative|ardent","pyromancy|metallurgic transmutation","The Star","Binah","Cassiel","Starlit tuning-fork over primal swirl","She as at the beginning","First-note of cosmic hymn-TAPAMAL re-strikes the fundamental tone that births worlds.","Reset, harmony, stellar melody; danger of dissonant echoes.","Proffer quartz diapason, nebula dust, golden ratio scroll; reject cracked metronomes.","","""Before words were, there was pitch.""","Choirmistress of 4 321 proto-sirens.","On-chain quest unique to TAPAMAL requiring alignment with fire cycles and demonstration of elemental mastery.","'A single true pitch can retune galaxies.'"
"35","GEDOONS","LOE","Fire","catalytic|incendiary|transformative","inner furnace yoga|solar rites","The Tower","Geburah","Kamael","Blotted sigil on blazing tower fragment","He who eliminates your name","GEDOONS wields erasure-striking identities from celestial rolls to grant tactical invisibility.","Silence, anonymity, star-fate severance; risk of self-obliteration.","Offer unused signet ring, void-ink, natal star-chart; avoid public heraldry.","","""In absence, the hunter passes unseen.""","Chief censor of 5 555 occult sentinels.","On-chain quest unique to GEDOONS requiring alignment with fire cycles and demonstration of elemental mastery.","'Name lost, path untracked.'"
"36","NOCAMAL","LOE","Fire","purifying|ardent|incendiary","metallurgic transmutation|inner furnace yoga","Justice","Netzach","Haniel","Ember-lit cradle emitting lullaby waves","He who continuously comforts","Guardian-lullaby-NOCAMAL stills stormed hearts, weaving ember-dreams of solace.","Restoration, restorative equity; threat of complacent sleep.","Bring dream-myrrh, tuning shell, quiet bell; avoid alarm gongs.","","""Embers cradle the weary lion.""","Dream-steward of 7 070 hearth-watchers.","On-chain quest unique to NOCAMAL requiring alignment with fire cycles and demonstration of elemental mastery.","'Comfort renews, yet over-comfort dulls.'"
"37","ISEMTAR","VTA","Fire","fervent|catalytic|ardent","metallurgic transmutation|pyromancy","Temperance","Chesed","Zadkiel","Alchemical crucible splitting into wings","He who begins the changes","ISEMTAR sparks metamorphosis-codifying chaos into rite and flight.","Initiation, law-alchemy, vigilant adaptation; hazard of unfinished transits.","Offer chrysalis shell, silver scale, charter scroll; spurn untethered flames.","","""Change obeys the patient map.""","Archivist of 6 606 rite-engineers.","On-chain quest unique to ISEMTAR requiring alignment with fire cycles and demonstration of elemental mastery.","'Ritual is the keel that steers flux.'"
"38","MASTIPT","VTA","Fire","valorous|vigilant|paternal","geomantic bastions|optics of warning","Strength","Tiphareth","Michael","Flaming shield embedded with eye-gem","He protector of man","Solar bulwark-MASTIPT stands where holy ground meets roaring front.","Guardianship, radiant vigilance; risk of martyr's blind zeal.","Welcome basalt ward-stone, sun-amber lens, sworn oath scroll; refuse blood-iron.","","""Flame mirrors flame, and none pass.""","Commander of 8 888 sentinel-knights.","On-chain quest unique to MASTIPT requiring alignment with fire cycles and demonstration of elemental mastery.","'Sight and shield must turn together.'"
"39","CAMAXOX","VTA","Fire","heraldic|visionary|ceremonious","star naming|dream inscribing","Temperance","Chesed","Zadkiel","Sky-scroll unfurling stellar sigla","He who names only great names","Registrar of legendary appellations-CAMAXOX crowns deeds with ringing titles.","Reputation, destiny inscription; danger of vainglory inflation.","Present blank constellation map, dream-ink, lion's quill; reject false laurels.","","""The louder the trumpet, the clearer its target.""","Chronicler with 5 432 title-scribes.","On-chain quest unique to CAMAXOX requiring alignment with fire cycles and demonstration of elemental mastery.","'Name shapes echo; choose vowels wisely.'"
